"aclgroups.dtd:","aclgroups.dtd:","aclgroups.dtd:"
"Access Groups","權限群組",
"Add","新增","新規・追加"
"Modify","修改","変更"
"Delete","刪除","削除"
,,
"bindings.dtd:","bindings.dtd:","bindings.dtd:"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"X-Large","超大","特大"
"Large","較大","大"
"Medium","適中","中"
"Small","較小","小"
,,
"cart.dtd:","cart.dtd:","cart.dtd:"
"Product Name","品名","品名"
"#","數量","数量"
"@","單價","単価"
"Subtotal","小計","小計"
"Tx","稅別","税別"
"+","+","＋"
"-","-","―"
"Payments","付款","支払い"
,,
"changeuser.dtd:","changeuser.dtd:","changeuser.dtd:"
"User Sign In","使用者登入","サインイン"
"CLEAR","清空","クリアー"
"DEL","刪除","削除"
"Passcode:","登入密碼","パスワード"
"OK","登入","ログイン"
"Quick Login:","快速登入","クイックログイン"
,,
"clockin.dtd:","clockin.dtd:","clockin.dtd:"
"User Clock In / Out","上下班打卡","出勤・退勤"
"In","上班","出勤　"
"Out","下班","退勤"
"Job","工作內容","仕事"
"User Clock In / Out","上下班打卡","出勤・退勤"
"User Clock In / Out","上下班打卡","出勤・退勤"
"CLEAR","清空","クリアー"
"DEL","刪除","削除"
"Passcode:","登入密碼","パスワード"
"OK","OK","OK"
"In","上班","出勤"
"Out","下班","退勤"
"View Attendance","檢視出勤紀錄","出勤記録"
"Job List","工作內容","仕事内容"
,,
"condiments.dtd:","condiments.dtd:","condiments.dtd:"
"Condiment Group","調味群組","調味料グループ"
"Group Name:","群組名稱","グループ名"
"Add","新增","新規"
"Modify","修改","変更"
"Delete","刪除","削除"
"Condiment","調味種類","調味料　"
"Name:","調味名稱","名前"
"Price:","調味價格","値段"
"Button Color:","按鈕顏色","ボタンカラー"
"Font Size:","文字大小","文字サイズ"
,,
"controlpanel.dtd:","controlpanel.dtd:","controlpanel.dtd:"
"Control Panel","控制面板","コントロールパネル"
"Loading...","載入中…","読み込み中"
,,
"creditcard.dtd:","creditcard.dtd:","creditcard.dtd:"
"Payment By Credit Card","信用卡付款","クレジットカード"
"CLEAR","清空","クリアー"
"DEL","刪除","削除"
,,
"currency.dtd:","currency.dtd:","currency.dtd:"
"Exchange Rates","匯率設定","為替レート"
"Code","貨幣名稱","コード"
"Sign","貨幣符號","サイン"
"Exchange Rate","匯率","為替レート"
"Amount to Convert","外幣金額","外貨金額"
"Converted Amount","轉換為本國幣金額","換算金額"
"Local Currency","本國貨幣","現地通貨"
"Currency","外幣","外貨　"
"DEL","刪除","削除"
"CLEAR","清空","クリアー"
"SAVE","儲存設定","保存"
,,
"departments.dtd:","departments.dtd:","departments.dtd:"
"Departments","產品部門","部門"
"Department Number:","部門代碼:","部門ナンバー"
"Department Name:","部門名稱:","部門名"
"Tax Rate:","稅別:","税率"
"Show on Menu:","顯示於前台:","メニューに表示"
"Sale Department","可單獨銷售:","販売部"
"Button Color:","按鈕顏色:","ボタンカラー"
"Font Size:","文字大小:","文字サイズ"
"Add","新增","新規"
"Modify","修改","変更"
"Delete","刪除","削除"
,,
"dialog.dtd:","dialog.dtd:","dialog.dtd:"
"User Prompt","資料輸入對話框","ユーザープロンプト"
"OK","完成","OK"
"CANCEL","取消","キャンセル"
"HELP","幫助","ヘルプ"
"CLOSE","關閉","閉じる"
"SAVE","儲存設定","保存"
"APPLY","套用","適用"
,,
"fecpos.dtd:","fecpos.dtd:","fecpos.dtd:"
"Name","名稱","名前"
"Ok","完成","OK"
"Cancel","取消","取消"
"Add","新增","新規"
"Modify","修改","変更"
"Delete","刪除","削除"
"Data","資料","データ"
"Data 2","資料 2","データ　2"
"Sets","組合產品","セット"
"Icon and Color","圖示與顏色","アイコン・色"
"Price Levels","價格設定","価格設定"
"Link Groups","群組連結","グループへリンク"
"Level","設定","設定"
"Price","價格","価格　"
"HALO","最高價格","最高価格"
"LALO","最低價格","最低価格"
"Loading ........","載入中………","読み込み中"
,,
"funcpanelecrprefs.dtd:","funcpanelecrprefs.dtd:","funcpanelecrprefs.dtd:"
"Function Panel Configuration","功能面板設定","機能設定"
"General","一般設定:","一般設定"
"Rows:","行數:","行数"
"Columns:","列數:","列数"
"Horizontal spacing:","水平間距:","平行スペース"
"Vertical spacing","垂直間距:","垂直スペース"
"Change size","套用","サイズ変更"
"Change orientation:","捲軸位置:","方位変更"
"Panel resizable?","面板大小可調整?","パネルサイズ調整？"
"Wrap-around scrolling?","循環面板?","循環パネル"
"Hide when restricted?","功能被限制時隱藏?","制限された時は隠す？"
"Number of panels:","面板頁數:","パネル数"
"Set","套用","セット"
"Start with panel:","起始頁面:","パネル表示開始"
"Set","套用","セット"
"Page layout","頁面設定","パネルレイアウト"
"Page number:","頁碼:","パネルナンバー"
"Page label:","自訂頁面名稱:","パネルラベル"
"Set","套用","セット"
"Reset","重設","再セット"
"Global page label:","預設頁面名稱:","デフォルトのページの名称"
"Set","套用","セット"
"Reset","重設","再セット"
"Set as default?","設為預設值?","デフォルトとしてセット"
"Set","套用","セット"
"Use default?","使用預設值?","デフォルトを使う？"
"Apply","套用","適用"
"Selected cells","選擇功能按鍵:","選択された機能キー"
"Merge","合併","合併"
"Remove","移除","移動"
"Use standard?","使用標準功能按鍵?","標準機能を使う？"
"Apply","套用","適用"
"Size","字體大小","文字サイズ"
"Key Mapping","功能按鍵設定","機能キー設定"
"Page number:","頁碼:","ページ"
"Unlink All","移除所有連結","全て連結しない"
"Selected button:","選擇功能按鍵:","選択ボタン"
"Linked to function:","連結功能至:","機能を連結"
"Unlink","移除連結","連結されていない"
"Function label:","功能標籤:","機能ラベル"
"Update","套用","更新"
"Reset","重設","再セット"
