"aclgroups.dtd:","aclgroups.dtd:","aclgroups.dtd:"
"Access Groups","權限群組","Åtkomst Grupper"
"Add","新增","Lägg till"
"Modify","修改","Modifiera"
"Delete","刪除","Tabort"
,,
"bindings.dtd:","bindings.dtd:","bindings.dtd:"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"Font","文字","Font"
"X-Large","超大","X-Large"
"Large","較大","Large"
"Medium","適中","Medium"
"Small","較小","Small"
,,
"cart.dtd:","cart.dtd:","cart.dtd:"
"Product Name","品名","Produkt Namn"
"#","數量","#"
"@","單價","@"
"Subtotal","小計","Subtotal"
"Tx","稅別","Tx"
"+","+","+"
"-","-","-"
"Payments","付款","Betalmedel"
,,
"changeuser.dtd:","changeuser.dtd:","changeuser.dtd:"
"User Sign In","使用者登入","Användar Logg In"
"CLEAR","清空","RENSA"
"DEL","刪除","DEL"
"Passcode:","登入密碼","Lösenord:"
"OK","登入","OK"
"Quick Login:","快速登入","Snabb Login:"
,,
"clockin.dtd:","clockin.dtd:","clockin.dtd:"
"User Clock In / Out","上下班打卡","Stämpelklocka In / Ut"
"In","上班","In"
"Out","下班","Ut"
"Job","工作內容","Job"
"User Clock In / Out","上下班打卡","Stämpelklocka In / Ut"
"User Clock In / Out","上下班打卡","Stämpelklocka In / Ut"
"CLEAR","清空","RENSA"
"DEL","刪除","DEL"
"Passcode:","登入密碼","Lösenord:"
"OK","OK","OK"
"In","上班","In"
"Out","下班","Ut"
"View Attendance","檢視出勤紀錄","Visa Närvarande"
"Job List","工作內容","Arbetslista"
,,
"condiments.dtd:","condiments.dtd:","condiments.dtd:"
"Condiment Group","調味群組","Kondiment Grupp"
"Group Name:","群組名稱","Grupp Namn:"
"Add","新增","Lägg till"
"Modify","修改","Modifiera"
"Delete","刪除","Tabort"
"Condiment","調味種類","Kondiment"
"Name:","調味名稱","Namn:"
"Price:","調味價格","Pris:"
"Button Color:","按鈕顏色","Knapp Färg:"
"Font Size:","文字大小","Font Storlek:"
,,
"controlpanel.dtd:","controlpanel.dtd:","controlpanel.dtd:"
"Control Panel","控制面板","Kontrolpanel"
"Loading...","載入中…","Laddar…"
,,
"creditcard.dtd:","creditcard.dtd:","creditcard.dtd:"
"Payment By Credit Card","信用卡付款","Kontokortsbetalning"
"CLEAR","清空","RENSA"
"DEL","刪除","DEL"
,,
"currency.dtd:","currency.dtd:","currency.dtd:"
