"aclgroups.dtd:","aclgroups.dtd:","aclgroups.dtd:"
"Access Groups","權限群組","权限群组"
"Add","新增","新增"
"Modify","修改","修改"
"Delete","刪除","删除"
,,
"bindings.dtd:","bindings.dtd:","bindings.dtd:"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"Font","文字","文字"
"X-Large","超大","超大"
"Large","較大","较大"
"Medium","適中","适中"
"Small","較小","较小"
,,
"cart.dtd:","cart.dtd:","cart.dtd:"
"Product Name","品名","品名"
"#","數量","数量"
"@","單價","单价"
"Subtotal","小計","小计"
"Tx","稅別","税别"
"+","+","+"
"-","-","-"
"Payments","付款","付款"
,,
"changeuser.dtd:","changeuser.dtd:","changeuser.dtd:"
"User Sign In","使用者登入","使用者登入"
"CLEAR","清空","清空"
"DEL","刪除","删除"
"Passcode:","登入密碼","登入密码"
"OK","登入","登入"
"Quick Login:","快速登入","快速登入"
,,
"clockin.dtd:","clockin.dtd:","clockin.dtd:"
"User Clock In / Out","上下班打卡","上下班打卡"
"In","上班","上班"
"Out","下班","下班"
"Job","工作內容","工作内容"
"User Clock In / Out","上下班打卡","上下班打卡"
"User Clock In / Out","上下班打卡","上下班打卡"
"CLEAR","清空","清空"
"DEL","刪除","删除"
"Passcode:","登入密碼","登入密码"
"OK","OK","OK"
"In","上班","上班"
"Out","下班","下班"
"View Attendance","檢視出勤紀錄","检视出勤纪录"
"Job List","工作內容","工作内容"
,,
"condiments.dtd:","condiments.dtd:","condiments.dtd:"
"Condiment Group","調味群組","调味群组"
"Group Name:","群組名稱","群组名称"
"Add","新增","新增"
"Modify","修改","修改"
"Delete","刪除","删除"
"Condiment","調味種類","调味种类"
"Name:","調味名稱","调味名称"
"Price:","調味價格","调味价格"
"Button Color:","按鈕顏色","按钮颜色"
"Font Size:","文字大小","文字大小"
,,
"controlpanel.dtd:","controlpanel.dtd:","controlpanel.dtd:"
"Control Panel","控制面板","控制面板"
"Loading...","載入中…","载入中…"
,,
"creditcard.dtd:","creditcard.dtd:","creditcard.dtd:"
"Payment By Credit Card","信用卡付款","信用卡付款"
"CLEAR","清空","清空"
"DEL","刪除","删除"
,,
"currency.dtd:","currency.dtd:","currency.dtd:"
"Exchange Rates","匯率設定","汇率设定"
"Code","貨幣名稱","货币名称"
"Sign","貨幣符號","货币符号"
"Exchange Rate","匯率","汇率"
"Amount to Convert","外幣金額","外币金额"
"Converted Amount","轉換為本國幣金額","转换为本国币金额"
"Local Currency","本國貨幣","本国货币"
"Currency","外幣","外币"
"DEL","刪除","删除"
"CLEAR","清空","清空"
"SAVE","儲存設定","储存设定"
,,
"departments.dtd:","departments.dtd:","departments.dtd:"
"Departments","產品部門","产品部门"
"Department Number:","部門代碼:","部门代码:"
"Department Name:","部門名稱:","部门名称:"
"Tax Rate:","稅別:","税别:"
"Show on Menu:","顯示於前台:","显示于前台:"
"Sale Department","可單獨銷售:","可单独销售:"
"Button Color:","按鈕顏色:","按钮颜色:"
"Font Size:","文字大小:","文字大小:"
"Add","新增","新增"
"Modify","修改","修改"
"Delete","刪除","删除"
,,
"dialog.dtd:","dialog.dtd:","dialog.dtd:"
"User Prompt","資料輸入對話框","数据输入对话框"
"OK","完成","完成"
"CANCEL","取消","取消"
"HELP","幫助","帮助"
"CLOSE","關閉","关闭"
"SAVE","儲存設定","储存设定"
"APPLY","套用","套用"
,,
"fecpos.dtd:","fecpos.dtd:","fecpos.dtd:"
"Name","名稱","名称"
"Ok","完成","完成"
"Cancel","取消","取消"
"Add","新增","新增"
"Modify","修改","修改"
"Delete","刪除","删除"
"Data","資料","资料"
"Data 2","資料 2","资料 2"
"Sets","組合產品","组合产品"
"Icon and Color","圖示與顏色","图示与颜色"
"Price Levels","價格設定","价格设定"
"Link Groups","群組連結","群组连结"
"Level","設定","设定"
"Price","價格","价格"
"HALO","最高價格","最高价格"
"LALO","最低價格","最低价格"
"Loading ........","載入中………","载入中………"
,,
"funcpanelecrprefs.dtd:","funcpanelecrprefs.dtd:","funcpanelecrprefs.dtd:"
"Function Panel Configuration","功能面板設定","功能面板设定"
"General","一般設定:","一般设定:"
"Rows:","行數:","行数:"
"Columns:","列數:","列数:"
"Horizontal spacing:","水平間距:","水平间距:"
"Vertical spacing","垂直間距:","垂直间距:"
"Change size","套用","套用"
"Change orientation:","捲軸位置:","滚动条位置:"
"Panel resizable?","面板大小可調整?","面板大小可调整?"
"Wrap-around scrolling?","循環面板?","循环面板?"
"Hide when restricted?","功能被限制時隱藏?","功能被限制时隐藏?"
"Number of panels:","面板頁數:","面板页数:"
"Set","套用","套用"
"Start with panel:","起始頁面:","起始页面:"
"Set","套用","套用"
"Page layout","頁面設定","页面设定"
"Page number:","頁碼:","页码:"
"Page label:","自訂頁面名稱:","自订页面名称:"
"Set","套用","套用"
"Reset","重設","重设"
"Global page label:","預設頁面名稱:","预设页面名称:"
"Set","套用","套用"
"Reset","重設","重设"
"Set as default?","設為預設值?","设为默认值?"
"Set","套用","套用"
"Use default?","使用預設值?","使用默认值?"
"Apply","套用","套用"
"Selected cells","選擇功能按鍵:","选择功能按键:"
"Merge","合併","合并"
"Remove","移除","移除"
"Use standard?","使用標準功能按鍵?","使用标准功能按键?"
"Apply","套用","套用"
"Size","字體大小","字体大小"
"Key Mapping","功能按鍵設定","功能按键设定"
"Page number:","頁碼:","页码:"
"Unlink All","移除所有連結","移除所有连结"
"Selected button:","選擇功能按鍵:","选择功能按键:"
"Linked to function:","連結功能至:","连结功能至:"
"Unlink","移除連結","移除连结"
"Function label:","功能標籤:","功能卷标:"
"Update","套用","套用"
"Reset","重設","重设"
"Parameter:","參數值:","参数值:"
"Update","套用","套用"
"Reset","重設","重设"
"Link","連結","连结"
"Global Key Mapping","固定功能鍵設定","固定功能键设定"
"Page number:","頁碼:","页码:"
"Unlink All","移除所有連結","移除所有连结"
"Selected button:","選擇功能按鍵:","选择功能按键:"
"Linked to function:","連結功能至:","连结功能至:"
"Unlink","移除連結","移除连结"
"Function label:","功能標籤:","功能卷标:"
"Update","套用","套用"
"Reset","重設","重设"
"Parameter:","參數值:","参数值:"
"Update","套用","套用"
"Reset","重設","重设"
"Link","連結","连结"
"Save","儲存設定","储存设定"
"Cancel","取消","取消"
,,
"giftcard.dtd:","giftcard.dtd:","giftcard.dtd:"
"Payment By Gift Card","禮品卡付款","礼品卡付款"
"CLEAR","清空","清空"
"DEL","刪除","删除"
,,
"imagemanager.dtd:","imagemanager.dtd:","imagemanager.dtd:"
"Image Manager","圖像管理","图像管理"
"Image File:","圖檔:","图档:"
"name:","檔名:","档名:"
"size:","檔案大小:","档案大小:"
"Import","匯入","汇入"
"Export","匯出","汇出"
"Delete","刪除","删除"
"Rename","重新命名","重新命名"
"Disk Usage Limit:","磁碟空間:","磁盘空间:"
"Total:","總計:","总计:"
"Used:","已使用:","已使用:"
"Files:","檔案數量:","档案数量:"
"Import/Export:","匯入/匯出:","汇入/汇出:"
"total size:","總計大小:","总计大小:"
"total files:","總檔案數量:","总档案数量:"
"status:","狀態:","状态:"
,,
"importexport.dtd:","importexport.dtd:","importexport.dtd:"
"Database Import / Export","資料匯入/匯出","数据汇入/汇出"
"Import","匯入","汇入"
"Export","匯出","汇出"
"Ok","完成","完成"
"Cancel","取消","取消"
"Add","新增","新增"
"Modify","修改","修改"
"Delete","刪除","删除"
,,
"jobs.dtd:","jobs.dtd:","jobs.dtd:"
"Job List","工作內容","工作内容"
"Job Name","工作名稱","工作名称"
"Add","新增","新增"
"Modify","修改","修改"
"Delete","刪除","删除"
,,
"licensecheck.dtd:","licensecheck.dtd:","licensecheck.dtd:"
"License check error. Please contact your agent or reseller for assistance.","產品序號錯誤. 請聯繫您的經銷商並尋求協助.","产品序号错误. 请联系您的经销商并寻求协助"
,,
"localekeyboard.dtd:","localekeyboard.dtd:","localekeyboard.dtd:"
"Locale and Keyboard Mapping","語系與鍵盤設定","语系与键盘设定"
"Locale","語系","语系"
"Keyboard Mapping","鍵盤設定","键盘设定"
,,
"messages.pot:","messages.pot:","messages.pot:"
"Add New ACL Group","新增權限群組","新增权限群组"
"New ACL Group","新權限群組","新权限群组"
"Group Name","群組名稱","群组名称"
"ACL Group [%S] already exists; ACL group not added.","權限群組 [%S] 已存在; 權限群組未新增","权限群组 [%S] 已存在; 权限群组未新增"
"ACL Group [%S] added successfully","權限群組 [%S] 新增成功","权限群组 [%S] 新增成功"
"An error occurred while adding ACL Group [%S]; the ACL group may not have been added successfully","新增權限群組 [%S] 時發生錯誤; 該權限群組並未新增成功","新增权限群组 [%S] 时发生错误; 该权限群组并未新增成功"
"The ACL group [%S] has been assigned to one or more users [%S] and cannot be removed.","權限群組 [%S] 已被一個或多個員工設定 [%S] 且無法刪除","权限群组 [%S] 已被一个或多个员工设定 [%S] 且无法删除"
"confirm delete %S","確認已刪除 %S","确认已删除 %S"
"Are you sure?","你確定嗎?","你确定吗?"
"ACL Group [%S] removed successfully","權限群組 [%S] 刪除成功","权限群组 [%S] 删除成功"
"An error occurred while removing ACL Group [%S]; the ACL group may not have been removed successfully","刪除權限群組 [%S] 時發生錯誤; 該權限群組並未刪除成功","删除权限群组 [%S] 时发生错误; 该权限群组并未删除成功"
"ACL Group [%S] modified successfully","權限群組 [%S] 修改成功","权限群组 [%S] 修改成功"
"An error occurred while modifying ACL Group [%S]; the ACL group may not have been modified successfully","修改權限群組 [%S] 時發生錯誤; 該權限群組並未修改成功","修改权限群组 [%S] 时发生错误; 该权限群组并未修改成功"
"OUT OF STOCK","已無庫存","已无库存"
"Product May Be Out of Stock!","產品可能已無庫存","产品可能已无库存"
"STOCK LOW","庫存量低於安全庫存","库存量低于安全库存"
"Low Stock Threshold Reached!","庫存量已達安全庫存","库存量已达安全库存"
"VERIFY AGE","確認年齡","确认年龄"
"Verify Customer Age for Purchase of [%S]!","請與客戶確認其年齡已達購買 [%S] 之法律規定","请与客户确认其年龄已达购买 [%S] 之法律规定"
"Verify Customer Age for Purchase of [%S]!","請與客戶確認其年齡已達購買 [%S] 之法律規定","请与客户确认其年龄已达购买 [%S] 之法律规定"
"SINGLE ITEM SALE","單一產品快速銷售","单一产品快速销售"
"Product scan code not found [%S]","產品條碼 [%S] 不存在","产品条形码 [%S] 不存在"
"Not an open order; cannot modify","已結單或未開單; 禁止修改","已结单或未开单; 禁止修改"
"Please select an item first","請先選擇一個品項","请先选择一个品项"
"Cannot modify selected item [%S]","無法修改選取的品項 [%S]","无法修改选取的品项 [%S]"
"Not authorized to modify condiment price","權限不足; 禁止修改調味價格","权限不足; 禁止修改调味价格"
"Cannot modify; selected item [%S] has discount or surcharge applied","禁止修改; 選取的品項 [%S] 已套用折扣或附加費","禁止修改; 选取的品项 [%S] 已套用折扣或附加费"
"Cannot modify; selected item [%S] has been subtotaled","禁止修改; 選取的品項 [%S] 已列入小計","禁止修改; 选取的品项 [%S] 已列入小计"
"Cannot modify; no price or quantity entered","禁止修改; 價格或數量未輸入","禁止修改; 价格或数量未输入"
"Cannot modify condiment; no price entered","禁止修改調味; 價格未輸入","禁止修改调味; 价格未输入"
"Quantity may not be less than 1","數量不得小於 1","数量不得小于 1"
"Not an open order; cannot VOID","已結單或未開單; 禁止刪除","已结单或未开单; 禁止删除"
"Cannot VOID the selected item [%S]\n ; It is not the last registered item","禁止刪除選取的品項 [%S] ; 該品項並非最後輸入之品項","禁止删除选取的品项 [%S] ; 该品项并非最后输入之品项"
"Cannot VOID an item that has been subtotaled","已列入小計之品項禁止刪除","已列入小计之品项禁止删除"
"Please enter the discount amount","請輸入折扣金額","请输入折扣金额"
"Please enter the discount percentage first","請先輸入折扣百分比","请先输入折扣百分比"
"Please enter the discount percentage","請輸入折扣百分比","请输入折扣百分比"
"Not an open order; cannot add discount","已結單或未開單; 禁止新增折扣","已结单或未开单; 禁止新增折扣"
"Please select an item","請選擇一個品項","请选择一个品项"
"Not an open order; cannot add surcharge","已結單或未開單; 禁止新增附加費","已结单或未开单; 禁止新增附加费"
"Pretax discount can only be registered against subtotals","稅前折扣只能在小計時列入","税前折扣只能在小计时列入"
"Discount has been already been registered on item [%S]","品項 [%S] 之折扣已計入","品项 [%S] 之折扣已计入"
"Surcharge has been already been registered on item [%S]","品項 [%S] 之附加費已計入","品项 [%S] 之附加费已计入"
"Cannot modify an item that has been subtotaled","已列入小計之品項禁止修改","已列入小计之品项禁止修改"
"Cannot register discount on return items","禁止退貨品項列入折扣","禁止退货品项列入折扣"
"Cannot apply discount to [%S]\n ; It is not the last registered item","禁止提供折扣於選取的品項 [%S] ; 該品項並非最後輸入之品項","禁止提供折扣于选取的品项 [%S] ; 该品项并非最后输入之品项"
"Discount may not be added to [%S]","禁止提供折扣於 [%S]","禁止提供折扣于 [%S]"
"Please enter the discount amount or percentage","請輸入折扣金額或百分比","请输入折扣金额或百分比"
"Please enter the surcharge amount first","請先輸入附加費金額","请先输入附加费金额"
"Please enter the surcharge percentage","請輸入附加費百分比","请输入附加费百分比"
"Pretax surcharge can only be registered against subtotals","稅前附加費只能在小計時列入","税前附加费只能在小计时列入"
"Cannot apply surcharge to [%S]\n ; It is not the last registered item","禁止套用附加費於選取的品項 [%S] ; 該品項並非最後輸入之品項","禁止套用附加费于选取的品项 [%S] ; 该品项并非最后输入之品项"
"Surcharge may not be added to [%S]","禁止套用附加費於 [%S]","禁止套用附加费于 [%S]"
"Not an open order; operation invalid","已結單或未開單; 操作無效","已结单或未开单; 操作无效"
"Not an open order; cannot register House Bon","已結單或未開單; 禁止登錄贈送產品","已结单或未开单; 禁止登录赠送产品"
"House Bon may not be applied to [%S]","品項 [%S] 禁止登錄為贈送產品","品项 [%S] 禁止登录为赠送产品"
"The selected currency [%S] has not been configured","選取的幣別尚未設定","选取的币别尚未设定"
"Please enter an amount first","請先輸入金額","请先输入金额"
"Please configure the selected currency entry first [%S]","請先設定選取的幣別 [%S]","请先设定选取的币别 [%S]"
"Credit Card Remark","信用卡註記","信用卡注记"
"Payment","付款","付款"
"Card Type","卡別","卡别"
"Card Remark","卡片註記","卡片注记"
"Gift Card Remark","禮品卡註計","礼品卡注计"
"Not an open order; cannot register payments","已結單或未開單; 禁止登錄付款金額","已结单或未开单; 禁止登录付款金额"
"Not an open order; cannot shift tax","已結單或未開單; 禁止切換稅別","已结单或未开单; 禁止切换税别"
"This operation cannot be performed on [%S]","此作業禁止在品項 [%S] 上執行","此作业禁止在品项 [%S] 上执行"
"The tax status indicated does not exist [%S]","選取的稅別不存在","选取的税别不存在"
"Not an open order; cannot add condiment","已結單或未開單; 禁止新增調味","已结单或未开单; 禁止新增调味"
"Condiments may not be added to [%S]","禁止於品項 [%S] 新增調味","禁止于品项 [%S] 新增调味"
"Cannot add condiments to an item that has been subtotaled","已列入小計之品項禁止新增調味","已列入小计之品项禁止新增调味"
"Please void discount on item first","請先刪除該品項之折扣","请先删除该品项之折扣"
"Please void surcharge on item first","請先刪除該品項之附加費","请先删除该品项之附加费"
"No Condiment group associated with item [%S]","品項 [%S] 並未與任何調味群組連結","品项 [%S] 并未与任何调味群组连结"
"Not an open order; cannot add memo","已結單或未開單; 禁止新增備註","已结单或未开单; 禁止新增备注"
"Add New Memo","新增備註","新增备注"
"Add Memo","新增備註","新增备注"
"Memo:","備註","备注"
"No open order to push","已結單或未開單","已结单或未开单"
"Order is not queued because it is empty","無任何品項故無法暫存","无任何品项故无法暂存"
"Authentication failed! ; Please make sure the password is correct.","登入失敗! 請確認登入密碼是否正確.","登入失败! 请确认登入密码是否正确."
"Authentication failed! ; Please select a user","登入失敗! 請選擇使用者","登入失败! 请选择使用者"
"Please select a user first","請先選擇使用者","请先选择使用者"
"Please enter the passcode","請輸入登入密碼","请输入登入密码"
